Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Product/firstname""), """")",Edge Chromium 121,,,2024-02-22 11:29:44,2024-02-22 11:29:45,"0,782s",PASSED
"setText(findTestObject(""Product/lastname""), lastname)",Edge Chromium 121,,,2024-02-22 11:29:45,2024-02-22 11:29:46,"0,927s",PASSED
"setText(findTestObject(""Product/postcal code""), PostcalCode)",Edge Chromium 121,,,2024-02-22 11:29:46,2024-02-22 11:29:49,"2,582s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:29:49,2024-02-22 11:29:49,"0,743s",PASSED
"click(findTestObject(""Product/btn-continue""))",Edge Chromium 121,,,2024-02-22 11:29:49,2024-02-22 11:29:50,"0,480s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:29:50,2024-02-22 11:29:50,"0,722s",PASSED
"verifyElementText(findTestObject(""Product/assertion/h3_Error First Name is required""), ""Error: First Name is required"")",Edge Chromium 121,,,2024-02-22 11:29:50,2024-02-22 11:29:51,"0,443s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 11:29:51,2024-02-22 11:29:52,"0,960s",PASSED
,,,,,,,
Test Cases/Product/User information/4.2.3 User input lastname null,Edge Chromium 121,User input lastname null,User information,2024-02-22 11:29:52,2024-02-22 11:30:16,"23,640s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-22 11:29:52,2024-02-22 11:30:06,"13,414s",PASSED
"click(findTestObject(""Product/addtocart""))",Edge Chromium 121,,,2024-02-22 11:30:06,2024-02-22 11:30:06,"0,445s",PASSED
"click(findTestObject(""Product/cart icon""))",Edge Chromium 121,,,2024-02-22 11:30:06,2024-02-22 11:30:07,"0,618s",PASSED
"click(findTestObject(""Product/btn-checkout""))",Edge Chromium 121,,,2024-02-22 11:30:07,2024-02-22 11:30:07,"0,575s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:30:07,2024-02-22 11:30:08,"0,688s",PASSED
"setText(findTestObject(""Product/firstname""), firstname)",Edge Chromium 121,,,2024-02-22 11:30:08,2024-02-22 11:30:09,"0,888s",PASSED
"setText(findTestObject(""Product/lastname""), """")",Edge Chromium 121,,,2024-02-22 11:30:09,2024-02-22 11:30:10,"0,961s",PASSED
"setText(findTestObject(""Product/postcal code""), PostcalCode)",Edge Chromium 121,,,2024-02-22 11:30:10,2024-02-22 11:30:12,"2,457s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:30:12,2024-02-22 11:30:13,"0,651s",PASSED
"click(findTestObject(""Product/btn-continue""))",Edge Chromium 121,,,2024-02-22 11:30:13,2024-02-22 11:30:13,"0,480s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:30:13,2024-02-22 11:30:14,"0,664s",PASSED
"verifyElementText(findTestObject(""Product/assertion/h3_Error Last Name is required""), ""Error: Last Name is required"")",Edge Chromium 121,,,2024-02-22 11:30:14,2024-02-22 11:30:15,"0,401s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 11:30:15,2024-02-22 11:30:16,"0,980s",PASSED
,,,,,,,
Test Cases/Product/User information/4.2.4 User input postal code-zip null,Edge Chromium 121,User input postal code-zip null,User information,2024-02-22 11:30:16,2024-02-22 11:30:39,"23,745s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-22 11:30:16,2024-02-22 11:30:29,"13,309s",PASSED
"click(findTestObject(""Product/addtocart""))",Edge Chromium 121,,,2024-02-22 11:30:29,2024-02-22 11:30:30,"0,448s",PASSED
"click(findTestObject(""Product/cart icon""))",Edge Chromium 121,,,2024-02-22 11:30:30,2024-02-22 11:30:30,"0,630s",PASSED
"click(findTestObject(""Product/btn-checkout""))",Edge Chromium 121,,,2024-02-22 11:30:30,2024-02-22 11:30:31,"0,614s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:30:31,2024-02-22 11:30:32,"0,720s",PASSED
"setText(findTestObject(""Product/firstname""), firstname)",Edge Chromium 121,,,2024-02-22 11:30:32,2024-02-22 11:30:33,"0,882s",PASSED
"setText(findTestObject(""Product/lastname""), lastname)",Edge Chromium 121,,,2024-02-22 11:30:33,2024-02-22 11:30:34,"1,002s",PASSED
"setText(findTestObject(""Product/postcal code""), """")",Edge Chromium 121,,,2024-02-22 11:30:34,2024-02-22 11:30:36,"2,593s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:30:36,2024-02-22 11:30:37,"0,651s",PASSED
"click(findTestObject(""Product/btn-continue""))",Edge Chromium 121,,,2024-02-22 11:30:37,2024-02-22 11:30:37,"0,463s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:30:37,2024-02-22 11:30:38,"0,691s",PASSED
"verifyElementText(findTestObject(""Product/assertion/h3_Error Postal Code is required""), ""Error: Postal Code is required"")",Edge Chromium 121,,,2024-02-22 11:30:38,2024-02-22 11:30:38,"0,381s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 11:30:38,2024-02-22 11:30:39,"0,949s",PASSED
,,,,,,,
Test Cases/Product/User information/4.2.5 User input all data null,Edge Chromium 121,User input all data null,User information,2024-02-22 11:30:39,2024-02-22 11:31:02,"22,688s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-22 11:30:40,2024-02-22 11:30:52,"12,579s",PASSED
"click(findTestObject(""Product/addtocart""))",Edge Chromium 121,,,2024-02-22 11:30:52,2024-02-22 11:30:53,"0,445s",PASSED
"click(findTestObject(""Product/cart icon""))",Edge Chromium 121,,,2024-02-22 11:30:53,2024-02-22 11:30:53,"0,572s",PASSED
"click(findTestObject(""Product/btn-checkout""))",Edge Chromium 121,,,2024-02-22 11:30:53,2024-02-22 11:30:54,"0,607s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:30:54,2024-02-22 11:30:55,"0,756s",PASSED
"setText(findTestObject(""Product/firstname""), """")",Edge Chromium 121,,,2024-02-22 11:30:55,2024-02-22 11:30:55,"0,785s",PASSED
"setText(findTestObject(""Product/lastname""), """")",Edge Chromium 121,,,2024-02-22 11:30:55,2024-02-22 11:30:56,"0,840s",PASSED
"setText(findTestObject(""Product/postcal code""), """")",Edge Chromium 121,,,2024-02-22 11:30:56,2024-02-22 11:30:59,"2,567s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:30:59,2024-02-22 11:31:00,"0,653s",PASSED
"click(findTestObject(""Product/btn-continue""))",Edge Chromium 121,,,2024-02-22 11:31:00,2024-02-22 11:31:00,"0,492s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:31:00,2024-02-22 11:31:01,"0,682s",PASSED
"verifyElementText(findTestObject(""Product/assertion/h3_Error First Name is required""), ""Error: First Name is required"")",Edge Chromium 121,,,2024-02-22 11:31:01,2024-02-22 11:31:01,"0,394s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 11:31:01,2024-02-22 11:31:02,"0,905s",PASSED
,,,,,,,
Test Cases/Product/User Checkout/4.3.1 User checkout product,Edge Chromium 121,User checkout product,Checkout,2024-02-22 11:31:02,2024-02-22 11:31:28,"25,823s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-22 11:31:02,2024-02-22 11:31:15,"12,235s",PASSED
"click(findTestObject(""Product/addtocart""))",Edge Chromium 121,,,2024-02-22 11:31:15,2024-02-22 11:31:15,"0,452s",PASSED
"click(findTestObject(""Product/cart icon""))",Edge Chromium 121,,,2024-02-22 11:31:15,2024-02-22 11:31:16,"0,689s",PASSED
"click(findTestObject(""Product/btn-checkout""))",Edge Chromium 121,,,2024-02-22 11:31:16,2024-02-22 11:31:16,"0,505s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:31:16,2024-02-22 11:31:17,"0,654s",PASSED
"verifyElementText(findTestObject(""Product/assertion/span_Checkout Your Information""), ""Checkout: Your Information"")",Edge Chromium 121,,,2024-02-22 11:31:17,2024-02-22 11:31:17,"0,474s",PASSED
"setText(findTestObject(""Product/firstname""), firstname)",Edge Chromium 121,,,2024-02-22 11:31:17,2024-02-22 11:31:18,"0,839s",PASSED
"setText(findTestObject(""Product/lastname""), lastname)",Edge Chromium 121,,,2024-02-22 11:31:18,2024-02-22 11:31:21,"2,787s",PASSED
"setText(findTestObject(""Product/postcal code""), PostcalCode)",Edge Chromium 121,,,2024-02-22 11:31:21,2024-02-22 11:31:22,"0,952s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:31:22,2024-02-22 11:31:23,"0,705s",PASSED
"click(findTestObject(""Product/btn-continue""))",Edge Chromium 121,,,2024-02-22 11:31:23,2024-02-22 11:31:23,"0,492s",PASSED
"verifyElementText(findTestObject(""Product/assertion/span_Checkout Overview""), ""Checkout: Overview"")",Edge Chromium 121,,,2024-02-22 11:31:23,2024-02-22 11:31:24,"0,558s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:31:24,2024-02-22 11:31:25,"0,776s",PASSED
"click(findTestObject(""Product/assertion/button_Finish""))",Edge Chromium 121,,,2024-02-22 11:31:25,2024-02-22 11:31:25,"0,480s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:31:25,2024-02-22 11:31:26,"0,618s",PASSED
"verifyElementText(findTestObject(""Product/assertion/h2_Thank you for your order""), ""Thank you for your order!"")",Edge Chromium 121,,,2024-02-22 11:31:26,2024-02-22 11:31:26,"0,461s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:31:26,2024-02-22 11:31:27,"0,700s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 11:31:27,2024-02-22 11:31:28,"0,955s",PASSED
