Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Login/1.1.8 - User input username null and password valid,Edge Chromium 121,User login with standar_user,Login,2024-02-22 08:22:28,2024-02-22 08:22:39,"11,434s",PASSED
"openBrowser("""")",Edge Chromium 121,,,2024-02-22 08:22:28,2024-02-22 08:22:30,"1,607s",PASSED
navigateToUrl(baseUrl),Edge Chromium 121,,,2024-02-22 08:22:30,2024-02-22 08:22:32,"2,663s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 08:22:32,2024-02-22 08:22:33,"0,567s",PASSED
"setText(findTestObject(""Login/field_username""), """")",Edge Chromium 121,,,2024-02-22 08:22:33,2024-02-22 08:22:35,"1,899s",PASSED
"setText(findTestObject(""Login/field_password""), password)",Edge Chromium 121,,,2024-02-22 08:22:35,2024-02-22 08:22:36,"0,982s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 08:22:36,2024-02-22 08:22:37,"0,764s",PASSED
"click(findTestObject(""Login/button_login""))",Edge Chromium 121,,,2024-02-22 08:22:37,2024-02-22 08:22:37,"0,528s",PASSED
"verifyElementText(findTestObject(""Login/assertion/div_Epic sadface Username is required""), ""Epic sadface: Username is required"")",Edge Chromium 121,,,2024-02-22 08:22:37,2024-02-22 08:22:38,"0,500s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 08:22:38,2024-02-22 08:22:38,"0,628s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 08:22:38,2024-02-22 08:22:39,"0,940s",PASSED
,,,,,,,
Test Cases/Login/1.1.9 - User input username valid and password null,Edge Chromium 121,User login with standar_user,Login,2024-02-22 08:22:39,2024-02-22 08:22:50,"11,204s",PASSED
"openBrowser("""")",Edge Chromium 121,,,2024-02-22 08:22:40,2024-02-22 08:22:41,"1,632s",PASSED
navigateToUrl(baseUrl),Edge Chromium 121,,,2024-02-22 08:22:41,2024-02-22 08:22:44,"2,154s",PASSED
